id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
tm450698,The Ruthless,MOVIE,2019,2010,Not Rated,111,0,,6.2,6237.0,6.2,12.973,1,crime,3,FR,2
ts103935,Bolívar: Una lucha admirable,SHOW,2019,2010,TV-MA,52,0,1.0,7.3,760.0,7.6,28.05,1,action,3,CO,1
tm889629,Lady Driver,MOVIE,2020,2020,PG,104,0,,5.7,1538.0,6.3,13.497,1,drama,2,US,1
tm895839,Under the Riccione Sun,MOVIE,2020,2020,Not Rated,101,0,,5.5,2463.0,6.2,13.561,1,romance,3,IT,1
ts89696,Tijuana,SHOW,2019,2010,TV-14,41,0,1.0,6.9,333.0,7.7,3.965,1,drama,2,MX,1
ts190452,Stolen Away,SHOW,2020,2020,TV-14,48,0,1.0,7.1,2344.0,7.1,14.787,1,thriller,4,ES,1
ts215869,Extreme Engagement,SHOW,2019,2010,Not Rated,38,0,1.0,5.6,384.0,8.0,1.128,1,reality,2,,0
ts90280,Yankee,SHOW,2019,2010,TV-MA,38,0,1.0,5.8,701.0,6.6,8.38,1,drama,2,MX,1
tm474548,Good Sam,MOVIE,2019,2010,PG,90,0,,5.7,2951.0,6.0,8.029,1,romance,3,US,1
tm946718,Funny Boy,MOVIE,2020,2020,Not Rated,109,0,,6.4,913.0,6.0,1.489,1,drama,1,CA,2
ts100354,Monzón: A Knockout Blow,SHOW,2019,2010,TV-MA,45,0,1.0,7.9,744.0,8.3,3.878,1,sport,4,AR,1
ts88471,Girls from Ipanema,SHOW,2019,2010,TV-MA,46,0,2.0,7.8,3483.0,7.2,10.758,1,drama,2,BR,1
tm466255,Kevin Hart: Irresponsible,MOVIE,2019,2010,Not Rated,60,0,,6.5,4506.0,6.7,6.514,1,comedy,1,US,1
tm832903,Airplane Mode,MOVIE,2020,2020,Not Rated,96,0,,5.1,2603.0,6.3,11.49,1,comedy,3,BR,1
tm450832,Paradise Beach,MOVIE,2019,2010,Not Rated,93,0,,4.6,2242.0,5.2,12.684,1,action,5,FR,1
tm450462,Petta,MOVIE,2019,2010,Not Rated,172,0,,7.3,9778.0,7.1,6.578,1,action,2,IN,1
tm882887,LA Originals,MOVIE,2020,2020,Not Rated,92,0,,7.2,1820.0,7.1,7.016,1,documentation,1,US,2
ts225647,Graceful Friends,SHOW,2020,2020,TV-MA,68,0,1.0,,,8.8,3.974,1,drama,2,KR,1
ts86928,The Crowned Clown,SHOW,2019,2010,TV-14,75,0,1.0,8.0,938.0,8.7,6.289,1,drama,4,KR,1
tm847678,Romance Doll,MOVIE,2020,2020,Not Rated,123,0,,,,5.4,3.275,1,romance,2,JP,1
tm960414,A California Christmas,MOVIE,2020,2020,PG-13,106,0,,5.8,9831.0,6.4,11.246,1,romance,3,US,1
ts90640,The Writer,SHOW,2019,2010,TV-14,37,0,1.0,8.2,32.0,10.0,1.771,1,drama,2,LB,1
