person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
623,Julia Hartmann,ACTOR,1,5.9,6.7
631,Oliver Schmitz,DIRECTOR,1,6.8,6.5
633,Karoline Eichhorn,ACTOR,1,8.7,8.4
638,Herbert Ballerina,ACTOR,1,2.7,3.4
642,Eva Löbau,ACTOR,3,6.07,6.2
656,Matthias Klimsa,ACTOR,1,3.8,5.5
658,Torsten Michaelis,ACTOR,2,6.15,6.15
662,Florian Fitz,ACTOR,1,7.0,7.0
668,Eisi Gulp,ACTOR,1,6.8,7.0
688,Benjamin Höppner,ACTOR,1,6.0,6.2
712,Annabelle Mandeng,ACTOR,1,6.8,6.7
719,Navid Navid,ACTOR,1,7.9,5.7
724,Richy Müller,ACTOR,1,7.5,7.1
727,Hinnerk Schönemann,ACTOR,1,5.5,5.6
731,Natalie Portman,ACTOR,2,8.05,7.41
732,Joel Edgerton,ACTOR,5,6.98,6.76
732,Joel Edgerton,DIRECTOR,1,7.0,6.7
733,Ewan McGregor,ACTOR,3,7.23,7.02
734,Rodrigo Santoro,ACTOR,3,6.9,6.9
735,Noah Emmerich,ACTOR,2,7.15,6.99
736,Alex Manette,ACTOR,1,7.2,7.36
738,Boyd Holbrook,ACTOR,4,5.75,6.25
739,James Burnett,ACTOR,1,4.0,5.8
740,Sam Quinn,ACTOR,1,4.0,5.8
743,Boots Southerland,ACTOR,2,5.35,6.28
744,Nash Edgerton,ACTOR,3,6.83,6.6
774,Joe Anoa'i,ACTOR,1,5.7,6.2
798,Carmen-Maja Antoni,ACTOR,1,,6.1
800,Ettore Ewen,ACTOR,1,4.2,5.1
801,Kofi Sarkodie-Mensah,ACTOR,2,4.5,5.9
802,Austin Watson,ACTOR,1,4.2,5.1
810,Paul Wight,ACTOR,2,5.9,7.6
823,Salma Hayek,ACTOR,4,6.65,6.16
826,Vincent Cassel,ACTOR,1,6.3,6.8
828,John C. Reilly,ACTOR,1,7.9,7.6
829,Toby Jones,ACTOR,5,6.5,6.64
832,Shirley Henderson,ACTOR,1,7.3,7.42
834,Margit Bendokat,ACTOR,1,6.8,6.9
845,Jonah Lees,ACTOR,1,5.9,7.1
851,Ryan McParland,ACTOR,1,6.8,6.4
852,Alba Rohrwacher,ACTOR,2,7.1,7.0
889,Benjamin Walker,ACTOR,3,6.17,6.57
890,Teresa Palmer,ACTOR,2,6.3,6.1
893,Alexandra Daddario,ACTOR,4,5.42,6.01
895,Tom Wilkinson,ACTOR,5,6.36,6.38
896,Jesse C. Boyd,ACTOR,2,6.8,6.75
897,Brad James,ACTOR,1,5.2,5.8
906,David Arquette,ACTOR,2,7.15,7.15
907,Neve Campbell,ACTOR,1,7.7,8.1
909,Sarah Michelle Gellar,ACTOR,2,5.3,4.4
910,Jamie Kennedy,ACTOR,3,6.73,6.4
911,Laurie Metcalf,ACTOR,1,6.3,7.2
912,Elise Neal,ACTOR,1,3.7,4.5
913,Jerry O'Connell,ACTOR,2,4.3,5.5
914,Timothy Olyphant,ACTOR,3,6.67,6.83
915,Heather Graham,ACTOR,4,6.58,6.68
916,Jada Pinkett Smith,ACTOR,2,7.0,7.54
